city,state,address_1,postal_code,classification,reason_for_recall,product_description,product_quantity,status,dt_report_date,dt_termination_date,report_year,report_month,report_day
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi Ppushu Ppushu BBQ Flavor  3.17oz x 40ea  Item #21503007  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
Middlebury,IN,1065 N 1150 W,46540-9340,Class I,Undeclared egg ingredient,"Rise n Roll Bakery & Deli, Bavarian Creme Donuts, sold individually and  found in 6 count (436 g) UPC Code 6 26570 61744 0  or 12 count (861.83 g) UPC Code 6 26570 617457,    variety donut box identifying all donut varieties     Bavarian Creme Donuts  Enriched wheat flour, soybean oil, dextrose, salt, leaving, soy flour, dry whey, mono and diglycerides with BHT, sodium stearoyl, latylate, guar gum wheat starch, ascorbic acid, corn oil, beta carotene, citric acid, silicon dioxide, alpha tocopherols, tricalcium phosphate, soy shortening (palm oil, soybean oil, vitamin E)     FILLING: High fructose corn syrup, sugar, food starch modified, palm oil, salt, titanium dioxide, agar sorbic acid, sodium benzoate, potassium sorbate, artificial flavor, modified cellulose, propylene glyocol, glycerin, corn starch, dextrose, polysorbate 80 & 60, sorbitan monostearate, sodium citrate, xanthangum, annatto, caramel color, yellow 5, yellow 6.     Contains wheat, soy and milk",Unknown,Terminated,2014-03-12,2014-04-23,2014,3,12
Santa Fe Springs,CA,13409 Orden Dr,90670-6336,Class I,"Fish Cake items contain possible contaminating undeclared egg, milk and shellfish.","Shirakiku FISH CAKE GOBO MAKI SK F:  20/ 150G, Net Wt. 5.29 oz.  Keep Frozen, 5 pcs.  UPC 07441092550    Distributed by Wismettac Asian Foods, Inc. Santa Fe Springs, CA","26,433 packages",Terminated,2019-08-14,2020-01-28,2019,8,14
Santa Fe Springs,CA,13409 Orden Dr,90670-6336,Class I,"Fish Cake items contain possible contaminating undeclared egg, milk and shellfish.","Shirakiku FISH CAKE IKA MAKI SK F;  20/ 150G, Net Wt. 5.29 oz.  Keep Frozen, 4 pcs.  UPC 074410925567    Distributed by Wismettac Asian Foods, Inc. Santa Fe Springs, CA","25,970 packages",Terminated,2019-08-14,2020-01-28,2019,8,14
Albert Lea,MN,2110 Yh Hanson Ave,56007-3406,Class II,Firm is recalling various Egg Salads and Potato Salads because they may contain undeclared traces of imitation crab meat,"Mrs. Gerry's Gourmet Potato Salad, Net Wt. 12 lb. (5.44 kg), UPC 17839-10112.  Keep Refrigerated.  Manufactured by Mrs. Gerry's, Albert Lea, MN  56007.",504 lbs.,Terminated,2018-04-25,2019-06-21,2018,4,25
Willernie,MN,106 Wildwood Rd,55090-7711,Class I,Sandwiches may contain undeclared soy and egg.,"Earle of Sandwiches Mild Smoked Jalapeno Sub, Smoked Jalapeno Sausage and Peperjack Cheese on Parmasan Crusted French Bread.  Net Wt. 7oz (198g), UPC 97256 75671, Keep Refrigerated.  Earle of Sandwiches, Willernie, MN  55090",2776 units,Terminated,2021-10-13,2022-04-21,2021,10,13
Middlebury,IN,1065 N 1150 W,46540-9340,Class I,Undeclared egg ingredient,"Rise n Roll Bakery & Deli, White Powdered Donuts, sold individually and  found in 6 count (436 g) UPC Code 6 26570 61744 0  or 12 count (861.83 g) UPC Code 6 26570 617457,    variety donut box identifying all donut varieties:  White Powdered Donut : Enriched wheat flour, soybean oil, dextrose, salt, leaving, soy flour, dry whey, mono and diglycerides with BHT, sodium stearoyl, latylate, guar gum wheat starch, ascorbic acid, corn oil, beta carotene, citric acid, silicon dioxide, alpha tocopherols, tricalcium phosphate, soy shortening (palm oil, soybean oil, vitamin E)   COATING:  Dextrose, cornstarch, partially hydrogenated vegetable oil, titanium dioxide, rice flour, hydrogenated cottonseed oil, artificial flavor, silicon dioxide.    Contains wheat, soy and milk",Unknown,Terminated,2014-03-12,2014-04-23,2014,3,12
Plymouth,WI,1 Persnickety Pl,53073-3544,Class II,"Sargento is recalling Frozen Unbreaded French Onion CC, Frozen Unbreaded Egg 3 cheese and caramelized Onion and Frozen Unbreaded Egg, Gouda, caramelized onion due to potential Listeria monocytogenes or Salmonella contamination.","Frozen Unbreaded Egg, Gouda, caramelized onion.  Sample Number 18-0116.01.  Keep Frozen at 0-degrees or below zero.  ""Food for Research or Evaluation Use"".  Sargento Technical Center, Elkhart Lake, WI  53020",12 pieces,Terminated,2019-01-02,2019-08-14,2019,1,2
Salinas,CA,1250 Hansen St,93901-4552,Class I,"Incorrect ingredient label was attached to 18 oz. O Organics vegetable Trays with Creamy Ranch Dressing Dip and therefore do not correctly identify the allergens egg, milk and soy.","O Organics Vegetable Tray, 18 oz. (1 lb. 2 oz.) 510g plastic tray.  Best If Used By: AUG 11  UPC (incorrect, which is on the tray): 021130984282  Product of USA & Mexico.",844 cases; 4 x 18 oz. trays per case.,Terminated,2016-09-28,2016-10-19,2016,9,28
Miami,FL,7560 NW 43rd St,33166-6408,Class I,"Undeclared Allergens: Fish, Egg, and Milk.","IncredibleStoneCrab, Mustard Sauce, 8 oz. plastic container, Distributed by: IncredibleStoneCrab,",181 containers,Terminated,2020-11-18,2020-12-30,2020,11,18
Boise,ID,250 E Park Center Blvd,83726-0020,Class I,"Undeclared allergens; fish, shellfish, egg, wheat, and soy","Ready Meals Crab & Shrimp w/Ccktl   SCE NET WT 12 OZ CAL 310 NET WT. 0lb 12oz (340g) ready2eat UPC 23253500000  Store Banners: ACME, Albertsons, Andronico s Community Markets, Balducci s, Carrs-Safeway, Eagle, Jewel-Osco, King s, Pak  N Save, Safeway, Shaw s, Star Market, Vons",,Terminated,2022-08-24,2022-09-29,2022,8,24
Austin,TX,550 Bowie St,78703-4644,Class I,Potential to contain undeclared egg,"Fried Chicken Meal with Mac & Cheese, packaged in clear plastic container with printed label product code begins with 247257; Fried Chicken Meal with Mac & Cheese, packaged on hot bar product code begins with 237444",580.91units (total of all products),Terminated,2020-12-02,2020-12-04,2020,12,2
East Windsor,CT,100 Bridge St,06088-9585,Class I,Contains undeclared egg.,Spicy tuna roll (9.6 oz) with expiration 08/12/2022,24 rolls total,Terminated,2022-09-21,2022-11-03,2022,9,21
Emeryville,CA,5980 Horton St Ste 200,94608-2057,Class I,undeclared egg,"Decorated (sugared) holiday cookies sold in the shape of purple eggs, pink bunnies or yellow chicks. These cookies were sold in the self service cookie display.",9936 cookies,Terminated,2017-05-24,2017-05-31,2017,5,24
Knoxville,TN,1600 Harris Rd,37924-2215,Class II,"Listeria monocytogenes was found in egg salad produced by the firm.  In abundance of caution, firm is recalling all product produced on the same line on the same date.","Fresket egg salad packaged in 32oz plastic cup with lid, 2 cups per case, refrigerated",294 cases (2-32 oz cups per case),Terminated,2019-08-28,2019-12-27,2019,8,28
Chester,IL,1037 State St,62233-1657,Class I,The product may contain undeclared egg.,"Western Family Onion Soup Mix, 2.25 oz. pouches packaged in 4.5-oz. cartons",54 cases,Terminated,2017-06-21,2017-08-25,2017,6,21
Grand Rapids,MI,2929 Walker Ave Nw,49544-6402,Class I,salads and sandwiches contain a sourced cooked egg ingredient which tested positive for Salmonella by the supplier.,MEIJER MACARONI SALAD 1 LB. plastic retail container,20169 units,Terminated,2016-09-21,2016-10-28,2016,9,21
Santa Fe Springs,CA,13409 Orden Dr,90670-6336,Class I,"Fish Cake items contain possible contaminating undeclared egg, milk and shellfish.","Shirakiku FISH CAKE AGE BALL SK F;  20/ 150G; Net Wt. 5.29 oz.  Keep Frozen, 15 pcs.  UPC 074410925574    Distributed by Wismettac Asian Foods, Inc. Santa Fe Springs, CA","42,362 packages",Terminated,2019-08-14,2020-01-28,2019,8,14
Kent,WA,"23444 30th Ave S., Space #104",98032-2807,Class I,"Butter Creek Farms, Inc. is recalling Snickerdoodle Cookies due to undeclared Wheat and Egg.  The firm sold single product or combined this product with other products in gift boxes from the website http://cowchipcookies.com/index.htm.",Snickerdoodle Cookies,unknown,Terminated,2014-04-09,2014-09-24,2014,4,9
Willernie,MN,106 Wildwood Rd,55090-7711,Class I,Sandwiches may contain undeclared soy and egg.,"Duke of Earle Spicy Chicken Sub, Seasoned Chicken with Pepper Jack Cheese on Garlic Pepper French Bread.  Net Wt. 7oz (198g), UPC 97256 19400, Keep Refrigerated.  Earle of Sandwiches, Willernie, MN  55090",180 units,Terminated,2021-10-13,2022-04-21,2021,10,13
Fife,WA,7214 26th St E C-102,98424-3773,Class I,"The Ingredients statement declared wheat, egg, and milk but the Contains statement declared only wheat.  Product contains butter but label does not declare milk.","COOKIES NEZHAKOMKA, product is packaged in plastic clamshells container, Net Weight: 454g (16 OZ), UPC: 8 51929 00366 1.      The label is read in parts: ""***COOKIES ""NEZNAKOMKA"" *** INGREDIENTS: WHEAT FLOUR (FLOUR, NIACIN, IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID) ASCORBIC ACID (DOUGH CONDITIONER), ENZYME, BUTTER (PASTERIZED CREAM, NATURAL FLAVORINGS, MILl, EGGS, SUGAR, VANILA*** Contains: Wheat***"".",340 packages,Terminated,2017-04-05,2018-07-23,2017,4,5
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Wheat Tea Rolls, Valley Bakery, Rock Valley, IA, 12 count. UPC 290219203556, packaged in clear plastic bags",13 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Cascade Locks,OR,815 SE Mountain View Dr,97014,Class II,"Ingredients statement declares Unsalted Cream but does not list milk.  Label has allergen advisory statement ""Mfg on same equipment that processes wheat, egg, peanut & tree nut.  May contain traces of soy, milk, peanuts & tree nuts"".","Granny's Fudge Gorgeous Peanut Brittle, net wt. 5oz. or 8 oz, packed in a clear plastic container. No UPC.     Label declares ""***Ingredients: Sugar, peanuts, corn syrup, butter, vanilla, baking soda***Allergy Information: Mfg on same equipment that processes wheat, egg, peanut & tree nut.  May contain traces of soy, milk, peanuts & tree nuts***"".",30 packages,Terminated,2021-05-12,2021-05-14,2021,5,12
Rock Valley,IA,1438 Main St,51247-1224,Class I,Bakery products which contain an ingredient which contain egg do not declare egg on the label,"Holstein Crimp Bread, Valley Bakery, Rock Valley, IA, 1 count. UPC 290113203607, packaged in clear plastic bags",2 retail packages,Terminated,2017-05-03,2017-07-17,2017,5,3
Omaha,NE,1 Conagra Dr,68102,Class I,Undeclared egg.  Egg containing-macaroni was inadvertently mixed with macaroni that did not contain egg.,"CiCi's Cavatappi, Enriched Macaroni Product, packaged in 5-lb. bags, 4 bags per case, Packed exclusively for use by CiCi's Pizza and its Franchisees, JMC Restaurant Distribution, LP, Coppell, TX.",Lot 063015V - 540/4/5-lb. bag cases; lot 070115V - 330/4/5-lb. bag cases,Terminated,2015-10-07,2016-04-13,2015,10,7
Brooklyn,NY,181 27th St,11232-1624,Class I,Product may contain undeclared egg.,Lam Sheng Kee Frozen Fried Fish Ball NET WEIGHT: 227g (8oz),Exact quantity is unknown.,Terminated,2017-08-02,2018-12-03,2017,8,2
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi Spicy Seafood flavor Udon Odongtong 5PK  1lb 5.16oz x 8pk  Item #32142410  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
Millbrae,CA,375 Adrian Rd,94030-3104,Class II,"Mooncake products, manufactured and distributed by Magic Gourmet Trading, Inc. of Milbrae, CA did not have adequate product labeling, including ingredient statements and allergen declaration. This product has undeclared peanut oil,  wheat and egg.","Koi Palace Mini Moon Cake: Mini Egg Yolk in White Lotus Seed Paste:  Unit Size 1/2 lb. and 1/4 lb. in circular box (1 piece) and rectangular boxes (4, 6 or 8 pieces).","4 cases (8 pcs/bx, 10 bx/cs)",Terminated,2017-01-18,2017-01-11,2017,1,18
Glendale,CA,601 Vine St,912041417,Class I,"Sugar Flowers Plus Inc of Glendale, CA is recalling Cake Decors Pastillage (gum paste) Flowers because of the undeclared use of egg white wash as a glue for the inner petals of flowers.",Pastillage (gum paste) Flowers,,Terminated,2013-01-23,2013-09-13,2013,1,23
Emeryville,CA,5980 Horton St Ste 200,946082057,Class I,Egg wash is used on the product and is not listed on the ingredient list or allergen statement.,"Sour Cherry Crostata, 1 pie  Net. Wt. 1 lb. 6 oz (624 g)    Whole Foods Market Inc., Emeryville, CA 94608","~110-120 units a week, both varieties. 19 weeks of production for ~2280 individual crostatas.",Terminated,2013-09-04,2013-08-29,2013,9,4
Manhasset,NY,1129 Northern Blvd Ste 404,11030-3022,Class II,"Product contains undeclared wheat, egg, and milk.","SAMYANG Buldak Hot Chicken Flavor Sauce, Hot Chili Sauce, Net Wt.: 200g (7.05oz)","950 cases, 25 units each",Terminated,2021-01-20,2021-04-28,2021,1,20
Fargo,ND,200 20th St N,58102-4136,Class II,Cass-Clay Creamery is voluntarily recalling a number of ice cream products because labelling of egg ingredient is not FALCPA compliant and for undeclared color Yellow 5.,"HORNBACHERS, LIGHT FRENCH VANILLA, HALF GALLON (1.89L), 0 41130 21662 6 (Missing Egg from Contains statement)    SUNNYBROOK, LIGHT FRENCH VANILLA, HALF GALLON	(1.89 L), 0 70422 24917 2 .   (MISSING YELLOW 5 FROM LABEL)    DAN'S, LIGHT FRENCH VANILLA, 	HALF GALLON(1.89 L), 0 70422 24317 0  (MISSING YELLOW 5 FROM LABEL )","23,852 containers",Terminated,2012-09-05,2012-11-15,2012,9,5
Santa Fe Springs,CA,13409 Orden Dr,90670-6336,Class I,"Fish Cake items contain possible contaminating undeclared egg, milk and shellfish.","Shirakiku FISH CAKE BOUTEN SK F  20/ 150G, Net Wt. 5.29 oz.  Keep Frozen, 7 pcs.  UPC 074410925253    Distributed by Wismettac Asian Foods, Inc. Santa Fe Springs, CA","20,101 packages",Terminated,2019-08-14,2020-01-28,2019,8,14
Albert Lea,MN,2110 Yh Hanson Ave,56007-3406,Class II,Firm is recalling various Egg Salads and Potato Salads because they may contain undeclared traces of imitation crab meat,"Festival Foods Potato Salad packaged in the following size containers:     Net Wt. 6 oz. (170g), UPC 17839-22388, Net Wt. 1 lb. (454 g) UPC 17839-22301,    Net Wt. 3 lb. (1.36 kg), UPC 17839-22303.  Net Wt. 35 lb. 15.87 kg), UPC 17839-22335.  Keep Refrigerated.  Made for Festival Foods, Onalaska, WI  54650","4,395 lbs.",Terminated,2018-04-25,2019-06-21,2018,4,25
Burleson,TX,5601 Vantage Drive,76028,Class II,Undeclared egg yolks,Whataburger Picante Sauce NET WT 0.6 oz (17g) packaged in high impact polystyrene cups;  400 cups per case,"2,152 cases",Terminated,2021-10-27,2021-12-03,2021,10,27
Sterling,VA,22445 Sous Vide Ln,20166-9382,Class II,Undeclared egg and milk,"JUST Egg Inspired by Japan Portobello, Mushrooms, Sweet Potatos, Furikake, Soy 4 Sous Vide Plant Egg Bites NET WT8.4OZ (238g). UPC: 0504402523, Expiration dates 3/5/2022, 3/31/2022, and 4/9/2022.16 cartons per corrugated case, Carton GTIN 7 05044 02523 0, Case Bar Code 10 750 440 25237",320 units,Terminated,2021-07-07,2022-03-30,2021,7,7
Albert Lea,MN,2110 Yh Hanson Ave,56007-3406,Class II,Firm is recalling various Egg Salads and Potato Salads because they may contain undeclared traces of imitation crab meat,"Potato Salad packaged in the following branded and sized containers:    1.  Mrs. Gerry's Old Fashioned Potato Salad, Net Wt. 1 lb. (454 g) UPC 17839-94101,    Net Wt. 3 lb. (1.36 kg), UPC 17839-94103.  Net Wt. 5 lb. (2.27 kg), UPC 17839-94105.  Keep Refrigerated.  Manufactured by Mrs. Gerry's, Albert Lea, MN  56007.    2.  Open Acres Chunky Potato Salad with Egg, Net Wt. 16 oz. (1 lb.) 454 g, UPC 84853-62039.  Distributed by Pique Brands, Inc., Grand Rapids, MI.","7,002 lbs.",Terminated,2018-04-25,2019-06-21,2018,4,25
Auburn,MA,205 Southbridge St,01501-2548,Class I,Product contains undeclared egg.,Candy Corn packed for Shapiro Produce stores; 15 oz; clear plastic container; UPC 0 18586 00114 4; Best by date 3/8/2023,60 cases,Terminated,2022-10-12,2023-03-17,2022,10,12
Fargo,ND,200 20th St N,58102-4136,Class II,Cass-Clay Creamery is voluntarily recalling a number of ice cream products because labelling of egg ingredient is not FALCPA compliant.,"HORNBACHERS, FRENCH VANILLA ICE CREAM, Half-gallon (1.89 L),  0 41130 21658 9 (Missing Egg in the Contains statement)",,Terminated,2012-09-05,2012-11-15,2012,9,5
Scarborough,ME,145 Pleasant Hill Rd,04074-9309,Class I,Undeclared egg,"Hannaford brand Mini Frosted Cookies, 10 oz   UPC # 4126872374",990 units,Terminated,2012-07-11,2012-07-10,2012,7,11
Gardena,CA,1650 W El Segundo Blvd,90249-2010,Class I,Undeclared allergen; egg.,"Ottogi Ramen Sari (Extra Noodle)  3.88oz x 48ea  Item #21101009  Manufactured by: Ottogi Ramyon Co. Ltd.  Distributed by: Ottogi America, Inc. 1650 W. El Segundo Bl. Gardena, CA 90249","1,594,338 units",Terminated,2019-03-06,2019-04-26,2019,3,6
Salinas,CA,121 Spreckels Blvd Bldg 10,93962,Class I,Undeclared milk and egg,365 by Whole Foods Market Organic Asian Inspired Chopped Salad Kits 12 oz plastic bags 9 bags per case UPC: 9948246932 Item#: 9770522,673 cases,Ongoing,2023-07-26,,2023,7,26
Austin,TX,550 Bowie St,78703-4644,Class II,Undeclared egg,Whole Foods Market Raspberry Cheesecake Italian Gelato 1 Pint (473mL) UPC 9948248024  packaged in a clear plastic container,"32,024 pints; (4,003 cartons)",Terminated,2019-12-18,2020-01-13,2019,12,18
Columbus,OH,3838 Indianola Ave,43214-3202,Class I,"The firm was notified by their customer that the ingredient statement on their packets of LaRosa Creamy Garlic Dressing and LaRosa Italian Dressing were switched.  Therefore, rendering them to be misbranded due to undeclared Allergens of Milk, Egg and/or Sulfites.","LaRosa's Creamy Garlic Dressing, 1.5oz plastic packet. Labeled in part, ""INGREDIENTS: Soybean Oil, Water, Vinegar, Red Wine (preserved with Sulfites)***Packed for LaRosa's Inc, Cincinnati, OH 45238"" UPC 0 70200 80109","732cs/60/1,5 oz packets",Terminated,2015-03-11,2015-10-02,2015,3,11
Seattle,WA,4301 University Way Ne,98105-5808,Class II,"Ice cream grab n go Pint and Cup containers' labels do not declare any ingredients including allergens Egg, Milk, and Wheat.","Sweet Alchemy Cookies and Cream ice cream, distributed in cups and pints. Label declares company name, flavor name, but does not declare ingredients and allergens.",4 pints and 14 cups,Terminated,2023-08-16,2023-09-11,2023,8,16
West Sacramento,CA,940 Riverside PKWY Ste 50,95605-1513,Class I,"Internal label review found egg is an ingredient of Grano Padano Cheese used in Parmesan Bread Sticks, but not declared in product ingredient statement or allergen statement.","United Bakery Grissini Parmesan Bread Sticks,;  Made with Extra Virgin Olive Oil and Grano Padano Cheese;  All Natural, Trans Fat Free;  Packaged in 8 oz  (227g) and 4.5 oz  (128g) containers.  Also packaged for Safeway - Safeway Select Parmesan Grissini Breadsticks, 8 oz. (227g) containers.  Made in USA  Ingredient: Wheat Flour, Water, Unsalted butter, yeast, Extra virgin Olive Oil, Imported Grano Padano Cheese, garlic, sea salt, malted barley, non fat milk, ascorbic acid, natural enzymes.  United Bakery, W. Sacramento, CA","14, 356 cases - sold in 18 pack cases and 12 pack cases",Terminated,2014-06-18,2014-06-19,2014,6,18
Colorado Springs,CO,321 N Tejon St,80903-1223,Class III,"Labeling incorrect with conflicting information, state: Contains No Egg or Dairy, but then later states: Ingredients: Whole Milk and Eggs. Product does contain milk and eggs.","Coquette's Gluten Free Spring Pack Cupcakes (4 pack), Oranges n' Cream & Strawberry Mint Lemonade.  coquettesbistro.com.  NET Wt. 9.67 OZ.  No expiration date on package, sold in ambient air at retail.",120 packages,Terminated,2015-10-07,2017-01-31,2015,10,7
Leavenworth,WA,10171 Chumstick Hwy,98826-8762,Class II,"Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements.","Jalape¿o Cheese Bread, Bosket Bread brand.  The Net weight of the products range from 1-1.5 lbs. No UPC.    Product is packaged in food grade plastic bag with the black Bosket Bread logo sticker on the front,  but without the ingredients statement affixed on a package.",2 units,Terminated,2022-01-19,2022-01-10,2022,1,19
Chicago,IL,5569 W. Northwest Highway,60630,Class II,"Undeclared Allergens - Egg, Milk, and Wheat",Chicago Sweet Connections: Paczkis - Blueberry Flavor packaged in a clear plastic clamshell  4 pack,425,Terminated,2022-03-16,2022-03-18,2022,3,16
Seattle,WA,619 S Nevada St,98108-1713,Class I,Lemon Dessert Bars product is recalled due to undeclared egg.,"Lemon Dessert Bars packaged under Schwartz Brothers Bakery brand in a 11.6 oz (328g), kraft packaging with UPC 7 17887 65163 7.    The label is read in parts: ""***LEMON DESSERT BARS*** Contains Milk, Soy, Wheat ***May Contain Eggs and Tree Nuts*** NET WT 11.6 OZ ***Produced By Schwartz Brothers Bakery Seattle, WA 98108***"".",24 packages,Terminated,2019-11-13,2019-11-14,2019,11,13
Leavenworth,WA,10171 Chumstick Hwy,98826-8762,Class II,"Undeclared Wheat, Milk, Egg, Soy, or Sesame on retail packaged bread products due to no ingredient statements.","Cinnamon Rolls, Bosket Bread brand.  The Net weight of the products range from 1-1.5 lbs. No UPC.    Product is packaged in food grade plastic bag with the black Bosket Bread logo sticker on the front,  but without the ingredients statement affixed on a package.",7 units,Terminated,2022-01-19,2022-01-10,2022,1,19
Portland,OR,1300 SE Stark St,97214-2471,Class I,New Seasons Market Grab and Go Pre-Packaged Macaroni and Cheese is recalled due to undeclared egg.,"New Seasons Market Grab and Go Pre-Packaged Macaroni and Cheese - refrigerated.  Product is packaged in aluminum shallow containers with a clear plastic dome lid and sold in two sizes:     Small package UPC 252089 203999.   Large package UPC 252090 706991.     The label is read in parts: ""***NEW SEASONS MARKET MACARONI & CHEESE***Pasta [water, enriched durum semolina durum semolina wheat flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid)], Mac and Cheese sauce [milk (grade A pasteurized milk, vitamin A palmitate, vitamin D3), medium cheddar cheese [cultured milk, salt, enzymes, annatto (color), potato starch and cellulose powder (added to prevent caking), natamycin (natural mold inhibitor)], wheat flour (unbleached wheat flour,  niacin, iron, thiamin mononitrate, riboflavin, folic acid), unsalted butter***Contains: Wheat, Milk***"".",924 small packages and 911 Large packages,Terminated,2018-01-17,2018-01-26,2018,1,17
